Package,category,quanteda,tm,tidytext,corpus,koRpus,austin
Create corpus,Corpus,corpus(),Corpus(),,corpus_frame(),read.corp.custom(),
Bind/subset corpora,Corpus,corpus_subset(),"tm_combine(); tm_filter() 
",,,,
Reshape corpus into smaller units,Corpus,corpus_reshape()/corpus_segment(),,,text_split(),,
Take random sample of corpus texts,Corpus,corpus_sample(),,,,,
Keywords-in-context,Corpus,kwic(),,,text_locate(),,
Tokenize texts,Tokenize text,tokens(),tokenizer(),unnest_tokens(),text_tokens(),tokenize(),
Create document-feature matrix,Extract features,dfm(),TermDocumentMatrix(),unnest_tokens(),term_matrix(),,
Create a feature co-occurence matrix,Extract features,fcm(),,,,,
Weight a dfm/fcm,Extract features,dfm_weight(); fcm_weight(),"weightTf(); weightTfIdf()
","bind_tf_idf()
",,,
Create a custom dictionary,Dictionary analysis,dictionary(),,dictionary always a data.frame object,,,
Included dictionaries,Dictionary analysis,Lexicoder,,"AFINN, Bing, NRC","AFINN Sentiment dictionary, WordNet-Affect Lexicon",,
Apply custom dictionaries,Dictionary analysis,dfm_lookup(),,,,,
Supported dictionary formats,Dictionary analysis,"Wordstat, LIWC, yoshicoder, lexicoder, YAML",,,,,
Calculate feature frequencies,Text statistics,textstat_frequency(),"findFreqTerms();
FindMostFreqTerms()",,term_stats(),freq.analysis(),
Stem texts,Text statistics,tokens_wordstem(),stemDocument(),,stem_snowball(),treetag(),
Readability scores,Text statistics,textstat_readability(),,,,readability(),
Lexical diversity,Text statistics,textstat_lexdiv(),,,,various measures,
Distance/similarity measures,Text statistics,textstat_simil(); textstat_dist(),,,,,
Keyness statistics,Text statistics,textstat_keyness(),,,,,
Wordcloud,Text statistics,textplot_wordcloud(),,,,,
Correspondence Analysis,Text scaling models,textmodel_ca(),,,,,
Naïve Bayes,Text scaling models,textmodel_NB(),,,,,
Wordscores,Text scaling models,textmodel_wordscores(),,,,,classic.wordscores()
Wordfish,Text scaling models,textmodel_wordfish(),,,,,wordfish()
Convert dfm to other format,Additional functions,convert(),,cast_tdm(),,,
POS-tagging,Additional functions,spacyr package,,parts_of_speech(),,kRp.POS.tags(),
Read texts into R,Additional functions,readtext package,Reader(),,,,
